id,name,station,longitude,latitude,end
0,旧芝離宮恩賜庭園,旧芝離宮恩賜庭園港区 JR山手線「浜松町」駅,139.7580399894344,35.65578498300574,0
1,林試の森公園,東急目黒線「武蔵小山」,139.7017605380979,35.62499551182795,0
2,平和の森公園,京浜急行本線「平和島」,139.7429719849032,35.57675860404198,0
3,新江戸川公園,地下鉄有楽町線「江戸川橋」都電「早稲田」,139.7217547669396,35.71316940882175,0
4,すずめのお宿緑地公園,目黒駅から大岡山小学校）碑文谷三丁目下車,139.6847631018763,35.61772088572506,0
5,清澄庭園,清澄庭園江東区　東京メトロ半蔵門線「清澄白河」駅,139.7978007494657,35.68067396220105,0
6,青山公園,青山公園港区東京メトロ銀座線「青山一丁目」駅駅東京メトロ日比谷線「六本木」駅東京メトロ千代田線「乃木坂」駅,139.7246341888734,35.66363702527407,0
7,芝公園,,139.7479839926996,35.65493799383004,0
8,台場公園,,139.771899620286,35.63344967772215,0
9,旧岩崎邸庭園,旧岩崎邸庭園台東区 JR山手線「御徒町」駅,139.7672050010916,35.70975999781724,0
10,旧古河庭園,旧古河庭園北区 JR山手線「駒込」駅,139.7462059989328,35.74244599878499,0
11,小石川後楽園,小石川後楽園文京区 JR中央線「飯田橋」駅,139.7482630077793,35.70473966150179,0
12,浜離宮恩賜庭園,浜離宮恩賜庭園中央区  JR山手線 新橋駅,139.7634920241879,35.6597370112111,0
13,向島百花園,向島百花園墨田区  京成押上線「京成曳舟」駅,139.8150038506756,35.72423182326962,0
14,甘泉園,都電荒川線面影橋駅地下鉄早稲田駅,139.7161902530323,35.71161906607941,0
15,六義園,六義園文京区  JR山手線「駒込」駅,139.7465140044358,35.73313900114734,0
16,西郷山公園,東急東横線　代官山駅,139.6960455810882,35.65043826168027,0